id,name,price,price_delta_season,price_delta_race,probability_price_up_percentage,probability_price_down_percentage,selection_percentage,selection_percentage_delta_season,datetime,timestamp
20,E. Ocon,9.9,-0.2,-0.2,0,11,16,-1,2021-03-31 00:56:02,1617148562
17,D. Ricciardo,17.1,-0.2,-0.2,0,10,37,-2,2021-03-31 00:56:02,1617148562
16,L. Norris,13.2,0.1,0.1,68,0,53,2,2021-03-31 00:56:02,1617148562
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 00:56:02,1617148562
9,Aston Martin,17.3,-0.3,-0.3,0,63,7,-1,2021-03-31 00:56:02,1617148562
7,AlphaTauri,12.9,0.2,0.2,16,0,6,0,2021-03-31 00:56:02,1617148562
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 00:56:02,1617148562
15,S. Perez,18.3,-0.1,-0.1,1,0,32,0,2021-03-31 00:56:02,1617148562
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 00:56:02,1617148562
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 00:56:02,1617148562
21,F. Alonso,15.5,-0.1,-0.1,0,97,13,-1,2021-03-31 00:56:02,1617148562
1,Ferrari,18.2,0.1,0.1,59,0,8,0,2021-03-31 00:56:02,1617148562
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 00:56:02,1617148562
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 00:56:02,1617148562
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 00:56:02,1617148562
29,N. Mazepin,5.4,-0.1,-0.1,0,7,5,0,2021-03-31 01:16:02,1617149762
26,K. Raikkonen,9.6,0.0,0.0,0,87,15,0,2021-03-31 01:16:02,1617149762
4,Mercedes,38.0,0.0,0.0,0,94,12,0,2021-03-31 01:16:02,1617149762
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 01:16:02,1617149762
6,Alpine,15.3,-0.1,-0.1,0,66,3,0,2021-03-31 01:16:02,1617149762
5,Red Bull,26.0,0.1,0.1,8,0,31,1,2021-03-31 01:16:02,1617149762
25,Y. Tsunoda,9.0,0.2,0.2,78,0,29,3,2021-03-31 01:16:02,1617149762
19,S. Vettel,15.9,-0.3,-0.3,0,92,17,-2,2021-03-31 01:16:02,1617149762
23,C. Sainz,14.4,0.0,0.0,0,38,27,0,2021-03-31 01:16:02,1617149762
24,P. Gasly,11.7,0.0,0.0,86,0,43,1,2021-03-31 01:16:02,1617149762
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 01:16:02,1617149762
14,M. Verstappen,24.9,0.1,0.1,94,0,52,2,2021-03-31 01:16:02,1617149762
22,C. Leclerc,17.1,0.3,0.3,14,0,29,2,2021-03-31 01:16:02,1617149762
18,L. Stroll,13.8,-0.1,-0.1,0,10,10,-1,2021-03-31 01:16:02,1617149762
2,Williams,6.3,0.0,0.0,0,18,1,0,2021-03-31 01:16:02,1617149762
20,E. Ocon,9.9,-0.2,-0.2,0,11,16,-1,2021-03-31 01:16:02,1617149762
17,D. Ricciardo,17.1,-0.2,-0.2,0,11,37,-2,2021-03-31 01:16:02,1617149762
16,L. Norris,13.2,0.1,0.1,69,0,53,2,2021-03-31 01:16:02,1617149762
28,M. Schumacher,5.8,0.0,0.0,0,19,27,0,2021-03-31 01:16:02,1617149762
9,Aston Martin,17.3,-0.3,-0.3,0,64,7,-1,2021-03-31 01:16:02,1617149762
7,AlphaTauri,12.9,0.2,0.2,16,0,6,0,2021-03-31 01:16:02,1617149762
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 01:16:02,1617149762
15,S. Perez,18.3,-0.1,-0.1,1,0,32,0,2021-03-31 01:16:02,1617149762
27,A. Giovinazzi,7.9,0.0,0.0,0,32,8,0,2021-03-31 01:16:02,1617149762
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 01:16:02,1617149762
21,F. Alonso,15.5,-0.1,-0.1,0,99,13,-1,2021-03-31 01:16:02,1617149762
1,Ferrari,18.2,0.1,0.1,60,0,8,0,2021-03-31 01:16:02,1617149762
12,L. Hamilton,33.5,0.0,0.0,0,54,29,0,2021-03-31 01:16:02,1617149762
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 01:16:02,1617149762
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 01:16:02,1617149762
29,N. Mazepin,5.4,-0.1,-0.1,0,7,5,0,2021-03-31 01:36:03,1617150963
26,K. Raikkonen,9.6,0.0,0.0,0,87,15,0,2021-03-31 01:36:03,1617150963
4,Mercedes,38.0,0.0,0.0,0,94,12,0,2021-03-31 01:36:03,1617150963
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 01:36:03,1617150963
6,Alpine,15.3,-0.1,-0.1,0,66,3,0,2021-03-31 01:36:03,1617150963
5,Red Bull,26.0,0.1,0.1,8,0,31,1,2021-03-31 01:36:03,1617150963
25,Y. Tsunoda,9.0,0.2,0.2,78,0,29,3,2021-03-31 01:36:03,1617150963
19,S. Vettel,15.9,-0.3,-0.3,0,92,17,-2,2021-03-31 01:36:03,1617150963
23,C. Sainz,14.4,0.0,0.0,0,38,27,0,2021-03-31 01:36:03,1617150963
24,P. Gasly,11.7,0.0,0.0,86,0,43,1,2021-03-31 01:36:03,1617150963
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 01:36:03,1617150963
14,M. Verstappen,24.9,0.1,0.1,94,0,52,2,2021-03-31 01:36:03,1617150963
22,C. Leclerc,17.1,0.3,0.3,14,0,29,2,2021-03-31 01:36:03,1617150963
18,L. Stroll,13.8,-0.1,-0.1,0,10,10,-1,2021-03-31 01:36:03,1617150963
2,Williams,6.3,0.0,0.0,0,18,1,0,2021-03-31 01:36:03,1617150963
20,E. Ocon,9.9,-0.2,-0.2,0,11,16,-1,2021-03-31 01:36:03,1617150963
